2024-05-16 01:24:12 [main] INFO  c.t.monitoring.MonitoringApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-16 01:24:12 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-16 01:24:12 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-16 01:24:12 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-16 01:24:12 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-16 01:24:12 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 466 ms
2024-05-16 01:24:13 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoint(s) beneath base path '/actuator'
2024-05-16 01:24:13 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-16 01:24:13 [main] INFO  c.t.monitoring.MonitoringApplication - Started MonitoringApplication in 1.003 seconds (process running for 1.205)
2024-05-16 01:24:13 [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-16 01:24:13 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-16 01:24:13 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2024-05-16 01:24:15 [http-nio-8080-exec-2] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":2.36834E-4}
2024-05-16 01:24:17 [http-nio-8080-exec-3] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":3.6208E-5}
2024-05-16 01:25:25 [main] INFO  c.t.monitoring.MonitoringApplication - Starting MonitoringApplication using Java 21.0.1 with PID 22019 (/Users/mikas/git/monitoring/build/classes/java/main started by mikas in /Users/mikas/git/monitoring)
2024-05-16 01:25:25 [main] INFO  c.t.monitoring.MonitoringApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-16 01:25:25 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-16 01:25:25 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-16 01:25:25 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-16 01:25:25 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-16 01:25:25 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 470 ms
2024-05-16 01:25:26 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoint(s) beneath base path '/actuator'
2024-05-16 01:25:26 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-16 01:25:26 [main] INFO  c.t.monitoring.MonitoringApplication - Started MonitoringApplication in 0.99 seconds (process running for 1.186)
2024-05-16 01:25:26 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-16 01:25:26 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-16 01:25:26 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2024-05-16 01:25:40 [http-nio-8080-exec-6] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":1.77667E-4}
2024-05-16 01:25:41 [http-nio-8080-exec-7] INFO  c.t.m.metric.ExecutionTimeAspect - {"job":"execution_time","duration_sec":2.6E-5}
2024-05-16 01:28:29 [main] INFO  c.t.monitoring.MonitoringApplication - Starting MonitoringApplication using Java 21.0.1 with PID 22073 (/Users/mikas/git/monitoring/build/classes/java/main started by mikas in /Users/mikas/git/monitoring)
2024-05-16 01:28:29 [main] INFO  c.t.monitoring.MonitoringApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-16 01:28:29 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
